Hotel name,Price,Rating
Ibis Madrid Calle Alcalá,228,8.4
Exclusivo apartamento en el centro de Madrid,,8.8
Apartamento Granada,420,7.9
Hostal JQ Madrid 1,248,7.7
Madrid House,280,7.7
CH Plaza D'Ort Rooms Madrid,230,7
NH Collection Madrid Eurobuilding,726,9
4C Bravo Murillo,320,8.3
Apartamento de Nelson y Sara,,9.1
Hostal Carmen,437,8.2
Esentia Togumar,269,8.4
Ilunion Alcalá Norte,292,8.5
Hostal Edreira,292,8.4
Axor Feria,347,8.4
TH Aravaca,240,7.2
Le Petit Palü,312,8.1
APARTAMENTO LAVAPIÉS - CENTRO MADRID,,8.6
Anaco,290,7.2
Apartamentos El Puente,250,8.5
Plaza de Castilla III,448,
AC Hotel Aravaca,383,7.8
Hostal Conchita Legazpi,162,7
PYR Select Latina III,275,
Apartments Madrid Eliptica,,8.1
Palacio Apartments Madrid,392,8.6
Room Mate Mario,439,9
Roisa Suites,468,8.8
7 Islas Hotel,425,9
Hostal Miami,192,8
Catedral de la Almudena III,445,7.5
Apartamento Sol,,9.3
Far Home Bernabeu,281,8.8
Bastardo Hostel,349,8.8
Hostal Astoria,282,8.4
Slow Suites Chueca,805,8.9
Las Musas Hostel,187,8.2
Hostal Adriano,262,8.5
P. AVArooms,,8.7
NH Barajas Airport,315,8.5
"Apartamento Almonacid - Nuevo, mucho encanto, A/A, Wifi, bien comunicado",403,8.3
MuchoMadrid,252,8.9
Hotel Cortezo,378,8.2
Hostal Los 5 Pinos,228,8.3
Agumar,368,8.2
LaNave,420,8.5
Valverde Sol Terraza Parking Gratis,,
Hostal Regio,210,8.2
NYX Hotel Madrid by Leonardo Hotels,469,8.3
NH Madrid Zurbano,530,8.4
SmartRental Chueca II,370,7.9
Mayerling Hotel,347,8.7
Hotel Best Osuna,391,7.2
Amazing,,7
VP Jardin de Recoletos,629,9.1
Avenida De America Tijcal,316,8.9
Hostal Art Madrid,224,8.7
CHUECA Apartamentos,266,7.9
Be Mate Gran Vía Suites,432,8.5
Casa Huésped Magdalena,416,7.9
BNBHolder Vintage Caravaca I CENTRE,,9.2
Petit Palace Arturo Soria Alcalá,320,8.4
Village Tetuan,272,7.4
Petit Palace Preciados,368,8.5
Eric Vökel Boutique Apartments - Madrid Suites,761,9
Aspasios Atocha Apartments,532,8.8
Barceló Emperatriz,672,9.1
New,,7.9
Madrid Suites Cibeles,275,6.6
Melia Madrid Serrano,752,8.9
B&B Hotel Madrid Centro Puerta del Sol,448,9.2
Mante House - Malasana,707,9.3
Aspasios Calle Mayor Apartments,352,8.7
B&B Hotel Madrid Centro Plaza Mayor,319,8.3
MH Apartments Central Madrid,536,9
Top Confort-Calle Mayor,,9.4
Victoria 4,574,8.4
Hostal Marlasca,276,7.9
Lusso Infantas,440,8.7
Hostal Los Arcos,272,7.2
Hostal Santa Barbara,312,7.3
Hostal La Perla Asturiana,212,8.4
Gutemberg 14,,7.9
Vitium Urban Suites,353,8.5
Flat5Madrid,220,8.3
Welcomer Apartments Madrid,767,8.3
